# Water withdrawals by subsector,,,,,
sector,subsector,var1,var2,var3,unit_conv
biomass,biomassGrass_MarChiq,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NegroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Pampas,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Patagonia,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_RioLaPlata,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Salinas,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ArgColoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ArgCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ChileCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MarChiq,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NegroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Pampas,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Patagonia,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_RioLaPlata,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Salinas,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AusCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AusCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AusCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AusCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AusInt,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MurrayDrlg,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NewZealand,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Tasmania,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AusCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AusCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AusCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AusCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MurrayDrlg,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NewZealand,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Tasmania,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AmazonR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BrzCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BrzCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BrzCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ParnaibaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SaoFrancR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_TocantinsR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AmazonR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BrzCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BrzCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BrzCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ParnaibaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SaoFrancR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_TocantinsR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CanAtl,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_FraserR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_GreatLakes,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_HudsonBay,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Mackenzie,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MissouriR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NWTerr,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NelsonR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_PacArctic,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_StLwrncR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_UsaCstNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_UsaPacNW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_CanAtl,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_FraserR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_GreatLakes,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_HudsonBay,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Mackenzie,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MissouriR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NWTerr,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
