"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060"
"GCAM 7.1","trn_EVcost-20_241121","Africa_Eastern","Sales|Transportation|Light-Duty Vehicle","million",0.414234516133467,0.651464916478643,0.952140401365315,0.415584855361022,0.509067065909777,0.821118800109032,1.05230962917142,1.31520506682435,1.60389987110607,1.98770225882288,2.75262390117822,3.40261923917676
"GCAM 7.1","trn_EVcost-20_241121","Africa_Northern","Sales|Transportation|Light-Duty Vehicle","million",2.1539263813465,3.17907415412058,4.08834405974741,1.52289862078309,1.95042231323337,2.79219278612251,3.15379588066499,3.45904759060549,3.58986556078858,3.90465742331963,4.59546900064616,4.77501049672106
"GCAM 7.1","trn_EVcost-20_241121","Africa_Southern","Sales|Transportation|Light-Duty Vehicle","million",0.322729834884584,0.51221463003824,0.777103490693009,0.184643029069415,0.351086350543932,0.530193460608984,0.626391269176767,0.761026870102568,0.908657499588676,1.1442539237527,1.55740749056189,1.9003817072604
"GCAM 7.1","trn_EVcost-20_241121","Africa_Western","Sales|Transportation|Light-Duty Vehicle","million",1.27465427499072,1.54936898598616,2.40947697565154,0.624992489860876,1.17393306602507,2.09217540737075,2.59941607687989,3.22301862833803,3.93051064235575,4.92939092896325,6.6477302198331,7.9993852097282
"GCAM 7.1","trn_EVcost-20_241121","Argentina","Sales|Transportation|Light-Duty Vehicle","million",1.29877853239657,1.44775901639344,1.68995245901639,0.320274644808743,0.679670494925839,0.905206713505074,0.928940819672131,1.00692260733802,0.967534113973458,1.07640960187354,1.17430819672131,1.20408110850898
"GCAM 7.1","trn_EVcost-20_241121","Australia_NZ","Sales|Transportation|Light-Duty Vehicle","million",3.04284639915592,3.33194716099731,3.70056538482238,1.13953483060747,1.43168339138068,1.90277762446326,1.96331874528812,2.14246879638993,2.14949190210601,2.3343806188593,2.49455399448049,2.611746720757
"GCAM 7.1","trn_EVcost-20_241121","Brazil","Sales|Transportation|Light-Duty Vehicle","million",4.11161108916573,5.6217400256484,7.02014531560028,1.65621278656697,2.5537583000468,3.47548462184406,3.41874397431193,3.66529011108724,3.4435521749882,3.69368114821517,3.85805457619518,3.82072718966291
"GCAM 7.1","trn_EVcost-20_241121","Canada","Sales|Transportation|Light-Duty Vehicle","million",5.26204321814856,6.28973359015681,6.61578649312244,1.83925176019704,2.30931993562826,3.13678011513641,3.16871736365827,3.42867850874392,3.29499102491027,3.54596128841431,3.75916860626744,3.87211631078992
"GCAM 7.1","trn_EVcost-20_241121","Central America and Caribbean","Sales|Transportation|Light-Duty Vehicle","million",0.986120100702576,1.13481152287276,1.37399410070258,0.464421725214676,0.624261697892272,0.894992674473068,0.980266497267759,1.12515486416862,1.20155495706479,1.35867875722092,1.55243498282592,1.67878854879001
"GCAM 7.1","trn_EVcost-20_241121","Central Asia","Sales|Transportation|Light-Duty Vehicle","million",1.15384908740826,1.55009249730483,1.92718580904542,0.750693419076628,0.949694143124138,1.33551258985863,1.47513861414105,1.56841779989361,1.5607928404977,1.63837156724744,1.83377149851471,1.91817629850718
"GCAM 7.1","trn_EVcost-20_241121","China","Sales|Transportation|Light-Duty Vehicle","million",2.67160714650873,4.09844135752722,6.3464373709432,2.5608559291074,3.14379840464988,3.69484937367214,3.62992327662297,3.65314405605883,3.31273982121218,3.29563403163931,3.49878104298499,3.21517589388423
"GCAM 7.1","trn_EVcost-20_241121","Colombia","Sales|Transportation|Light-Duty Vehicle","million",0.593227985948478,0.682250741608119,1.0098,0.335670944574551,0.475132489461358,0.637197197501952,0.69034224824356,0.784244309133489,0.815960257611241,0.909719555035129,1.01961949258392,1.08326544106167
"GCAM 7.1","trn_EVcost-20_241121","EU-12","Sales|Transportation|Light-Duty Vehicle","million",6.29389802994329,7.83502395881939,8.33869180960935,2.6164023862293,2.64831266882135,3.57231308870953,3.64911613257567,3.70426802334428,3.27352188555795,3.35579875266623,3.69025293369641,3.65886497747968
"GCAM 7.1","trn_EVcost-20_241121","EU-15","Sales|Transportation|Light-Duty Vehicle","million",55.2325087018801,55.1976480734673,55.9496976746337,14.8075524418541,18.0092092573172,23.3858870369379,24.1456055478955,25.9858053369086,24.1058604690998,25.6371886087489,26.8600000389299,27.3107780588164
"GCAM 7.1","trn_EVcost-20_241121","Europe_Eastern","Sales|Transportation|Light-Duty Vehicle","million",1.33357137799705,1.67446483944317,1.43153566522453,0.486796456874921,0.530702883855812,0.752609374673402,0.843840882132786,0.889288819444771,0.855765534396964,0.905770405476021,1.04973430177434,1.11371287599392
"GCAM 7.1","trn_EVcost-20_241121","Europe_Non_EU","Sales|Transportation|Light-Duty Vehicle","million",3.33590608489409,4.06857531307255,6.01110768755615,1.85783573797544,2.42257746353636,3.04235639544426,3.21400744061632,3.41783704247091,3.27449651694177,3.44881977452629,3.7512225506786,3.84134248478503
"GCAM 7.1","trn_EVcost-20_241121","European Free Trade Association","Sales|Transportation|Light-Duty Vehicle","million",1.85579949661696,1.97651349954053,1.9887361545271,0.524562959481443,0.661479267035452,0.853059668716783,0.876609316165833,0.943786949575288,0.883267497438441,0.949808400130764,1.00159111369331,1.02138318083528
"GCAM 7.1","trn_EVcost-20_241121","India","Sales|Transportation|Light-Duty Vehicle","million",0.936098159980325,1.63413942095855,2.29046747431007,1.2520403811974,1.58520636125043,1.77852878199989,2.15534880846519,2.35014360973618,2.45454017124072,2.66116718102966,3.18577375818867,3.38612992034254
